"Bucket label","m/z","Name","Formula","BY0_000001","BY0_000002","BY0_000003","GRE3_000001","GRE3_000002","GRE3_000003","ENO1_000001","ENO1_000002","ENO1_000003","dGLO1_000001","dGLO1_000002","dGLO1_000003","GLO2_000001","GLO2_000002","GLO2_000003"
"308.1987698818 Da",347.16191,"Methylgingerol","C18H28O4",3.850137000754057E7,3.687345237531875E7,3.910874117414881E7,4.425383110177811E7,4.0971209803034134E7,4.3803153813346624E7,3.06121446084805E7,3.235843734774224E7,3.125919688480797E7,2.1711951834204752E7,1.991648498933606E7,2.055106339866935E7,9934596.0,1.0161570585718427E7,1.0439193152686978E7
"451.2698866023 Da",452.27715,"PE_16:1_9Z_0:0_","C21H42NO7P",1.0131687467585416E8,1.0323476355572608E8,9.89261725423957E7,1.2312654751232323E8,1.2650408859578922E8,1.229157447555823E8,2.0431513075588413E7,2.3524046342203617E7,2.2103015287176333E7,1.7674555842382316E7,1.78717765866644E7,1.748130833916135E7,1.5922978E7,1.6459229403740356E7,1.6376783411835432E7
"626.0839768677 Da",627.09143,,"C23H27N6O7PS3",6.265119583720487E7,6.391251314961576E7,6.234422292432421E7,7.963062408056432E7,7.933237078590073E7,7.777977960783404E7,5.3036699671260774E7,5.159666822670621E7,5.107249626660889E7,3.608261792130591E7,3.354969809289501E7,3.649870749264155E7,1.662365E7,1.7545982097358357E7,1.7812640027413826E7
"256.2402073027 Da",257.24756,"2-hydroxyhexadecanal","C16H32O2",4.938764636031799E7,5.654261007032675E7,5.656343625276897E7,5.13522485093946E7,4.6467346781499766E7,4.9469561948697016E7,3.967435244936149E7,5.034115572861981E7,5.5557910185769744E7,3.700789250623101E7,3.8968141793349795E7,4.062987291156655E7,1.3851696E7,1.2796886025480364E7,1.3225215830481762E7
"342.2882560363 Da",343.29553,,"C19H38N2O3",4.066406361793746E7,4.0754792993310586E7,3.870562104950825E7,7.025061227218892E7,6.6275749670727015E7,6.791966432188866E7,2.219522382102776E7,2.0112660145209108E7,2.0751633793556064E7,2.2256714052903127E7,2.2334809433089934E7,2.255925291119973E7,1.0185464E7,9739225.529795524,9621542.801612735
"479.3011671946 Da",480.30844,"PE_18:1_9Z_0:0_","C23H46NO7P",6.998460989997822E7,7.305369534520833E7,7.001737929887396E7,5.979132463521432E7,6.584951252283442E7,6.407208951778542E7,9396252.93396072,9709909.884680675,1.011306118906038E7,1.2150830350150315E7,1.0593375393475637E7,1.0392560251136437E7,1.0534304E7,1.078217966446373E7,1.1416600932681443E7
"624.0890214070 Da",625.09622,,"C31H32N2S6",4.313821474882107E7,4.0831942365354255E7,3.989764365773351E7,4.845197734249918E7,4.8732703301668316E7,4.9032806932084925E7,3.1819695085078433E7,3.277241637650773E7,3.0703397506859265E7,2.2694532698863488E7,2.2328013987883013E7,2.25794978338806E7,1.1016674E7,1.1249291695793537E7,1.0857730038259E7
"497.2753872161 Da",498.28264,"PS_16:0_0:0_","C22H44NO9P",2.838592911745539E7,3.1638619667168684E7,2.824573562337618E7,2.4182321086057108E7,5.777409559602193E7,6.646358508316035E7,1.5957112319529E7,3.084057674939716E7,2.9163142710333586E7,2.1971759299730126E7,2.275582729724849E7,2.1803721264610294E7,8126150.0,1.2954770323602695E7,1.3506408859847706E7
"330.2770157386 Da",331.28429,"1-monohexadecanoylglycerol","C19H38O4",1.6836850348958965E7,1.9976952698258743E7,2.1559289704955947E7,7426681.554340465,2.0619749000154287E7,2.7435178496712115E7,1.0099824620954495E7,1.954473742418691E7,1.949975608578106E7,1.5888648097831462E7,1.5601418343030965E7,1.595029437503993E7,3312199.0,5485222.241735052,6781348.374212544
"612.2907258755 Da",613.29805,,"C30H40N6O8",1.9738565846583128E7,1.7491463910338175E7,1.660744361551438E7,2.070861092614334E7,2.1610262976556018E7,1.907190434614489E7,1.721246266720747E7,1.697518302598966E7,1.7047170604494885E7,1.824181333948508E7,1.8487823728261683E7,1.9380243793592457E7,1.7787832E7,1.815533688024751E7,1.815895864171969E7
"495.2597101548 Da",496.26699,,"C22H42NO9P",2.460441789366781E7,2.9600686274714377E7,2.6506461805920918E7,2.9134109811939895E7,3.8944817887021706E7,4.150816973974386E7,1.6854260597316127E7,2.165596966850239E7,1.9664409942846082E7,1.784033658018967E7,1.7552556955311086E7,1.8591759983157106E7,7875865.0,9147658.814884223,9111514.084356286
"243.1834057892 Da",244.19078,"N-Undecanoylglycine","C13H25NO3",1.9239310010373313E7,1.81327009528727E7,1.9584804625677668E7,2.6116099546373338E7,2.5294798689238884E7,2.4368600293036804E7,1.0366021324173944E7,1.101831548861356E7,1.0811150686655534E7,1.0927215125397438E7,1.2305704405344926E7,1.234904912861744E7,5295285.5,5204487.832905767,4870206.342065939
"495.3324288114 Da",496.33977,"PC_16:0_0:0_","C24H50NO7P",3.350421158976962E7,3.731930153498247E7,3.61908331456549E7,5.7564084641376585E7,6.2457069859406926E7,6.768028528435579E7,8233425.537421508,7447759.861368487,7913476.691599051,7653809.956366371,8091742.589543367,8233786.907665971,5537805.0,6193664.4645666685,6720439.98067448
"278.1518329659 Da",317.11497,"alpha-CEHC","C16H22O4",1.3897255497593965E7,1.4544674306611506E7,1.6190123215818714E7,1.6314797909871766E7,1.3424246652920822E7,1.3044073688448237E7,1.1326821985672552E7,1.0628850619103745E7,1.0304790182133406E7,6430069.931178519,6741803.276383857,5763231.677795791,5298218.5,4351453.233020805,4133798.78030007
"342.1162150702 Da",381.07936,"Melibiose","C12H22O11",9116109.13354416,9880408.379373815,9553478.796369433,1.5486162476782959E7,1.6894425298984744E7,1.5343255612360427E7,2.7661392058125615E7,2.9193644613422647E7,2.9627716862800326E7,7094748.207828831,6948227.755822899,7248058.196115573,2637734.5,3079905.963783395,2830653.6981757623
"612.1521003808 Da",613.15925,"Oxidized glutathione","C20H32N6O12S2",3.1652486293608997E7,3.609221037373475E7,3.0542733495182898E7,3.302306991646828E7,3.184018354706501E7,3.0566977967332594E7,1.2802770475342328E7,1.4493343176302046E7,1.1790555076988518E7,1.4211689053007234E7,1.4206518742508814E7,1.550610726808846E7,6187379.5,5681395.457478505,5490167.674301127
"370.3195356798 Da",371.32681,,"C21H42N2O3",2.1765214611798167E7,2.218471865011355E7,2.0715022082707997E7,3.8085923874252655E7,3.52167259212607E7,3.809932777483934E7,9833412.899559837,9263986.872082138,9356780.876960956,1.111522178067036E7,1.1816461092510689E7,1.172443229737095E7,4828855.0,5079566.161890458,5127574.201261858
"521.3481349926 Da",522.35540,"LysoPC_18:1_9Z_","C26H52NO7P",3.9189501171683766E7,3.846116879730911E7,3.655759328201653E7,3.292180983782191E7,3.8328457661090426E7,3.680280926167172E7,7382492.159605796,8028547.68590363,7628224.195670322,7146683.908844011,6988956.800716817,6183672.064838117,3916592.5,4275392.021620744,5025024.9399871575
"467.3010905176 Da",468.30845,"LysoPC_14:0_0:0_","C22H46NO7P",2.621141681496926E7,2.7037304860856317E7,2.6595622309315898E7,3.339397057346247E7,3.349909445320056E7,3.4562021098631114E7,5990277.490519221,5489997.178534823,6590363.589515382,6640603.064964573,6895501.465331408,6743866.911910128,4636988.5,5297305.384081206,5163589.8003339125
"361.2041851366 Da",400.16732,,"C24H27NO2",2.4494924812536266E7,3.6720066935501985E7,3.730603465593981E7,0.0,5558569.127273198,1.0903789495392188E7,2592787.7358604544,6608953.975831233,9754095.052745698,1.7471559614865176E7,1.771025029119902E7,1.9068058822619703E7,1887036.125,3948603.8894717484,5984685.917623936
